product_id,product_name,category,unit_price,unit_cost,margin_pct,total_units_sold,total_revenue,order_count,avg_selling_price,product_margin_total
22,SKU-0022,Outdoors,63.35,23.75,0.6251,811,48989.4,264,60.33127819548872,32115.6
23,SKU-0023,Apparel,74.46,37.44,0.4972,792,55992.82,258,70.72184615384616,29319.84
24,SKU-0024,Home,47.18,17.13,0.6369,728,32570.42,246,44.72906882591093,21876.4
25,SKU-0025,Beauty,71.86,27.84,0.6126,651,44252.92,231,68.12426724137931,28657.02
26,SKU-0026,Outdoors,20.8,8.37,0.5976,743,14688.460000000001,245,19.763132530120483,9235.49
27,SKU-0027,Home,53.59,21.01,0.6079,836,42609.11,265,50.96639097744361,27236.88
28,SKU-0028,Home,24.7,13.23,0.4644,745,17494.75,238,23.486016597510375,8545.15
29,SKU-0029,Outdoors,11.98,5.07,0.5768,744,8463.9,240,11.383045267489711,5141.04
30,SKU-0030,Outdoors,20.18,9.62,0.5233,739,14158.04,252,19.134627450980393,7803.84
31,SKU-0031,Toys,27.34,11.87,0.5658,861,22301.03,265,25.86332089552239,13319.67
32,SKU-0032,Outdoors,23.21,13.85,0.4033,701,15438.27,251,22.04728346456693,6561.36
33,SKU-0033,Toys,109.77,47.26,0.5695,900,93811.51,281,104.3777894736842,56259.0
34,SKU-0034,Home,48.09,17.44,0.6373,675,30809.69,236,45.63801687763713,20688.75
35,SKU-0035,Home,63.93,35.75,0.4408,774,47276.55,257,61.07329457364341,21811.32
36,SKU-0036,Home,22.05,7.81,0.6458,791,16565.69,262,20.943457249070633,11263.84
37,SKU-0037,Apparel,10.76,5.77,0.4638,710,7251.53,235,10.205933609958507,3542.9
38,SKU-0038,Outdoors,119.27,70.38,0.4099,706,79782.05,240,113.05132780082987,34516.34
39,SKU-0039,Beauty,8.75,5.39,0.384,646,5379.58,219,8.336412556053812,2170.56
40,SKU-0040,Apparel,20.91,8.67,0.5854,790,15679.35,256,19.829615384615384,9669.6
41,SKU-0041,Home,56.48,27.31,0.5165,746,40100.36,239,53.75604166666667,21760.82
42,SKU-0042,Home,27.97,15.6,0.4423,813,21594.22,254,26.5449609375,10056.81
43,SKU-0043,Electronics,41.79,19.54,0.5324,830,33031.19,278,39.78764285714286,18467.5
44,SKU-0044,Electronics,18.04,9.93,0.4496,824,14132.62,258,17.17084942084942,6682.64
45,SKU-0045,Home,47.66,24.57,0.4845,668,30253.47,222,45.22231111111111,15424.12
46,SKU-0046,Toys,14.45,5.65,0.609,844,11588.38,270,13.743370370370371,7427.2
47,SKU-0047,Home,25.54,11.48,0.5505,782,19018.11,259,24.30646153846154,10994.92
48,SKU-0048,Beauty,54.39,22.91,0.5788,770,39853.15,258,51.79069498069499,24239.6
49,SKU-0049,Electronics,23.95,11.38,0.5248,812,18394.38,267,22.689479553903347,10206.84
50,SKU-0050,Electronics,43.65,15.39,0.6474,823,34141.18,255,41.46697674418604,23257.98
51,SKU-0051,Outdoors,110.36,63.74,0.4224,812,85263.3,273,105.03985663082437,37855.44
52,SKU-0052,Toys,50.01,28.57,0.4287,713,33843.57,246,47.48892,15286.72
53,SKU-0053,Apparel,45.84,28.52,0.3778,643,28006.93,214,43.57059633027523,11136.76
54,SKU-0054,Electronics,63.33,30.64,0.5162,830,49882.57,261,60.0555303030303,27132.7
55,SKU-0055,Apparel,37.01,17.25,0.5339,679,23872.78,233,35.147768240343346,13417.04
56,SKU-0056,Electronics,24.54,10.61,0.5676,689,16127.84,234,23.39957805907173,9597.77
57,SKU-0057,Beauty,72.67,39.92,0.4507,661,45686.23,229,69.11622317596567,21647.75
58,SKU-0058,Electronics,61.69,39.87,0.3537,674,39455.9,235,58.440553191489364,14706.68
59,SKU-0059,Home,21.08,9.7,0.5398,690,13759.82,228,19.979525862068964,7852.2
60,SKU-0060,Home,31.76,11.13,0.6496,716,21644.99,233,30.17777777777778,14771.08
61,SKU-0061,Home,50.28,28.24,0.4383,722,34497.99,232,47.86587234042553,15912.88
62,SKU-0062,Home,12.7,7.55,0.4055,757,9139.67,249,12.0698023715415,3898.55
63,SKU-0063,Electronics,50.16,28.36,0.4346,814,38798.5,271,47.71658088235294,17745.2
64,SKU-0064,Outdoors,46.59,24.34,0.4776,705,31191.09,244,44.21678861788618,15686.25
65,SKU-0065,Apparel,16.03,9.21,0.4255,714,10890.57,244,15.232857142857144,4869.48
66,SKU-0066,Apparel,98.89,53.99,0.454,840,78668.33,277,93.79345323741008,37716.0
67,SKU-0067,Beauty,29.31,13.44,0.5415,678,18904.11,216,27.88004608294931,10759.86
68,SKU-0068,Outdoors,27.55,15.06,0.4534,683,17864.77,231,26.175474137931033,8530.67
69,SKU-0069,Home,65.34,34.71,0.4688,711,44022.909999999996,242,61.947272727272725,21777.93
70,SKU-0070,Home,73.31,46.77,0.362,732,51111.87,242,69.7950406504065,19427.28
71,SKU-0071,Beauty,18.92,7.09,0.6253,723,13039.35,245,18.036138211382116,8553.09
72,SKU-0072,Electronics,34.59,18.26,0.4721,752,24705.05,249,32.83730158730159,12280.16
73,SKU-0073,Outdoors,10.28,5.67,0.4484,697,6805.16,236,9.769831932773108,3213.17
74,SKU-0074,Apparel,63.09,39.37,0.376,774,46501.52,255,60.06581395348837,18359.28
75,SKU-0075,Apparel,37.32,17.16,0.5402,741,26237.08,242,35.40839506172839,14938.56
76,SKU-0076,Beauty,13.85,5.41,0.6094,763,10055.89,254,13.187109375,6439.72
77,SKU-0077,Electronics,22.98,14.65,0.3625,748,16310.36,242,21.82457142857143,6230.84
78,SKU-0078,Outdoors,17.84,10.82,0.3935,836,14168.37,263,16.957003745318353,5868.72
79,SKU-0079,Beauty,22.13,13.41,0.394,733,15404.37,243,21.060000000000002,6391.76
80,SKU-0080,Electronics,10.86,5.1,0.5304,810,8366.31,259,10.319733840304183,4665.6
81,SKU-0081,Apparel,84.91,31.72,0.6264,844,68168.17,281,80.77870629370629,44892.36
82,SKU-0082,Apparel,19.39,10.06,0.4812,699,12897.039999999999,236,18.443459915611815,6521.67
83,SKU-0083,Outdoors,38.53,21.07,0.4532,762,27951.35,256,36.65715953307393,13304.52
84,SKU-0084,Home,50.0,21.01,0.5798,727,34493.36,237,47.5364705882353,21075.73
85,SKU-0085,Beauty,73.37,31.35,0.5727,746,51850.53,247,69.60875,31346.92
86,SKU-0086,Outdoors,39.37,22.68,0.4239,808,30236.04,264,37.39518656716418,13485.52
87,SKU-0087,Toys,32.33,19.45,0.3984,735,22550.06,238,30.689791666666668,9466.8
88,SKU-0088,Home,40.42,21.93,0.4574,788,30166.06,256,38.25453488372093,14570.12
89,SKU-0089,Apparel,18.85,7.87,0.5825,869,15527.32,280,17.885836298932386,9541.62
90,SKU-0090,Outdoors,19.85,8.76,0.5587,799,15051.22,259,18.837480916030536,8860.91
91,SKU-0091,Outdoors,31.85,14.34,0.5498,699,21130.510000000002,242,30.24711382113821,12239.49
92,SKU-0092,Home,8.79,3.53,0.5984,727,6067.44,243,8.356131687242799,3824.02
93,SKU-0093,Beauty,24.55,13.92,0.433,734,17148.43,247,23.347620967741936,7802.42
94,SKU-0094,Home,28.16,15.43,0.4521,720,19334.78,243,26.820853658536585,9165.6
95,SKU-0095,Outdoors,111.06,70.78,0.3627,787,82907.17,261,105.35045283018867,31700.36
96,SKU-0096,Outdoors,79.2,30.84,0.6106,775,58248.52,253,75.20196078431373,37479.0
97,SKU-0097,Home,49.89,23.71,0.5248,755,35870.81,264,47.416367041198505,19765.9
98,SKU-0098,Electronics,64.06,35.91,0.4394,851,51828.41,271,60.89212454212454,23955.65
99,SKU-0099,Electronics,19.74,12.42,0.3708,707,13251.94,232,18.720858369098714,5175.24
100,SKU-0100,Apparel,41.11,17.8,0.567,747,29190.24,241,39.06685714285714,17412.57
101,SKU-0101,Apparel,59.27,25.21,0.5747,692,38969.27,222,56.31125560538116,23569.52
102,SKU-0102,Toys,19.86,8.94,0.5498,813,15387.65,259,18.92344827586207,8877.96
103,SKU-0103,Electronics,14.21,8.37,0.411,779,10498.94,254,13.4840625,4549.36
104,SKU-0104,Apparel,46.66,17.55,0.6239,864,38387.38,276,44.447841726618705,25151.04
105,SKU-0105,Apparel,15.24,6.46,0.5761,790,11448.67,253,14.48492125984252,6936.2
106,SKU-0106,Electronics,52.74,23.87,0.5474,794,39756.29,259,50.076100386100386,22922.78
107,SKU-0107,Toys,72.6,33.01,0.5453,627,43240.08,221,68.93497737556561,24822.93
108,SKU-0108,Electronics,20.28,7.68,0.6213,747,14420.11,244,19.265465587044535,9412.2
109,SKU-0109,Toys,21.31,7.92,0.6283,744,15051.5,262,20.24177358490566,9962.16
110,SKU-0110,Electronics,71.31,33.61,0.5287,726,49283.99,232,67.85965665236051,27370.2
111,SKU-0111,Outdoors,39.51,20.74,0.4751,769,28857.24,244,37.522254098360655,14434.13
112,SKU-0112,Outdoors,65.59,35.48,0.4591,819,51075.38,276,62.414496402877695,24660.09
113,SKU-0113,Apparel,32.6,13.18,0.5957,758,23448.74,244,30.936814516129033,14720.36
114,SKU-0114,Apparel,34.19,15.61,0.5434,795,25791.15,258,32.45553846153847,14771.1
115,SKU-0115,Toys,38.86,24.36,0.3731,737,27226.579999999998,237,36.90239669421487,10686.5
116,SKU-0116,Toys,97.54,59.24,0.3927,723,67082.43,242,92.78611570247935,27690.9
117,SKU-0117,Apparel,62.48,23.74,0.62,845,50350.26,278,59.57911971830986,32735.3
118,SKU-0118,Beauty,24.03,9.24,0.6155,751,17124.81,240,22.811234567901234,11107.29
119,SKU-0119,Toys,42.99,15.67,0.6355,835,34098.52,278,40.824078014184394,22812.2
120,SKU-0120,Toys,31.16,16.25,0.4785,683,20188.49,231,29.591896551724137,10183.53
