customer_id,signup_date,channel,country,total_orders,total_revenue,total_gross_margin,first_order_date,last_order_date,avg_order_value,recency_days,tenure_days,clv,rfm_r,rfm_f,rfm_m,rfm_score,rfm_segment
23,2024-03-07,affiliate,GB,1.0,103.61000000000001,50.56,2024-08-12 16:05:48,2024-08-12 16:05:48,103.61000000000001,141.0,299,103.61000000000001,1.0,1.0,1.0,3.0,Lost
24,2024-12-05,paid_search,DE,10.0,3348.1,1570.57,2024-12-06 07:44:44,2024-12-30 08:55:57,334.81,1.0,26,3348.1,5.0,5.0,5.0,15.0,Champions
25,2024-10-13,social,US,1.0,342.6,167.47000000000003,2024-10-19 18:53:51,2024-10-19 18:53:51,342.6,73.0,79,342.6,2.0,1.0,1.0,4.0,Lost
26,2024-08-23,organic,US,5.0,2479.4399999999996,1091.5,2024-09-23 03:01:54,2024-12-15 18:31:32,495.8879999999999,16.0,130,2479.4399999999996,4.0,3.0,5.0,12.0,Loyal Customers
27,2024-05-27,referral,US,4.0,369.21,177.74,2024-06-21 07:06:25,2024-12-13 13:35:24,92.3025,18.0,218,369.21,3.0,3.0,1.0,7.0,Others
28,2024-10-28,paid_search,AU,7.0,3346.95,1532.14,2024-11-19 17:02:05,2024-12-28 09:19:48,478.13571428571424,3.0,64,3346.95,5.0,4.0,5.0,14.0,Champions
29,2024-07-18,social,DE,2.0,509.01000000000005,203.19,2024-07-24 19:55:39,2024-08-24 05:30:12,254.50500000000002,129.0,166,509.01000000000005,1.0,1.0,2.0,4.0,Lost
30,2024-06-11,paid_search,US,5.0,1265.4,569.75,2024-06-19 17:07:10,2024-12-05 17:28:55,253.08,26.0,203,1265.4,3.0,3.0,3.0,9.0,Loyal Customers
31,2024-06-13,social,CA,2.0,899.6199999999999,483.93000000000006,2024-08-07 13:54:21,2024-09-19 22:16:17,449.80999999999995,103.0,201,899.6199999999999,1.0,1.0,3.0,5.0,Lost
32,2024-03-24,social,US,3.0,1176.14,570.5400000000001,2024-03-31 16:38:47,2024-10-17 09:22:39,392.0466666666667,75.0,282,1176.14,2.0,2.0,3.0,7.0,Lost
33,2024-02-03,paid_search,US,7.0,1376.6100000000001,727.21,2024-03-10 00:53:25,2024-12-09 02:29:42,196.65857142857143,22.0,332,1376.6100000000001,3.0,4.0,3.0,10.0,Loyal Customers
34,2024-07-21,referral,US,9.0,2684.19,1241.78,2024-08-04 08:39:07,2024-12-19 14:26:25,298.24333333333334,12.0,163,2684.19,4.0,5.0,5.0,14.0,Champions
35,2024-11-20,paid_search,SE,14.0,4598.74,2286.21,2024-11-22 16:04:51,2024-12-28 17:38:23,328.4814285714286,3.0,41,4598.74,5.0,5.0,5.0,15.0,Champions
36,2024-01-24,social,FR,2.0,264.19,146.89,2024-08-29 08:39:37,2024-10-14 07:34:29,132.095,78.0,342,264.19,2.0,1.0,1.0,4.0,Lost
37,2024-11-10,paid_search,DE,3.0,506.30000000000007,250.60000000000002,2024-11-17 06:07:36,2024-12-10 18:28:26,168.76666666666668,21.0,51,506.30000000000007,3.0,2.0,2.0,7.0,Potential Loyalists
38,2024-10-29,paid_search,US,8.0,2093.18,930.21,2024-11-15 21:54:35,2024-12-14 16:45:10,261.6475,17.0,63,2093.18,3.0,5.0,4.0,12.0,Loyal Customers
39,2024-04-11,paid_search,US,1.0,759.79,376.40000000000003,2024-07-05 05:53:37,2024-07-05 05:53:37,759.79,179.0,264,759.79,1.0,1.0,2.0,4.0,Lost
40,2024-08-19,organic,DE,8.0,1223.21,567.7,2024-08-24 03:19:57,2024-12-19 12:35:42,152.90125,12.0,134,1223.21,4.0,5.0,3.0,12.0,Loyal Customers
41,2024-03-01,organic,US,0.0,0.0,0.0,,,0.0,305.0,305,0.0,,,,,No Orders
42,2024-10-04,social,NL,2.0,775.98,342.20000000000005,2024-11-25 03:58:29,2024-12-18 12:35:16,387.99,13.0,88,775.98,4.0,1.0,2.0,7.0,New Customers
43,2024-09-13,social,CA,7.0,2605.68,1276.18,2024-10-29 21:39:20,2024-12-27 09:22:38,372.23999999999995,4.0,109,2605.68,5.0,4.0,5.0,14.0,Champions
44,2024-05-09,social,GB,3.0,818.82,421.81999999999994,2024-06-23 05:51:48,2024-07-07 04:44:35,272.94,177.0,236,818.82,1.0,2.0,2.0,5.0,Lost
45,2024-01-25,organic,CA,4.0,1357.5,712.5400000000001,2024-02-05 00:12:26,2024-08-07 22:36:58,339.375,146.0,341,1357.5,1.0,3.0,3.0,7.0,At Risk
46,2024-12-21,organic,SE,2.0,597.89,345.30999999999995,2024-12-22 07:51:45,2024-12-22 23:55:30,298.945,8.0,10,597.89,4.0,1.0,2.0,7.0,New Customers
47,2024-06-12,organic,GB,1.0,432.15,206.19,2024-10-08 20:03:03,2024-10-08 20:03:03,432.15,84.0,202,432.15,1.0,1.0,1.0,3.0,Lost
48,2024-11-22,email,DE,0.0,0.0,0.0,,,0.0,39.0,39,0.0,,,,,No Orders
49,2024-09-05,referral,NL,6.0,1479.73,729.44,2024-09-13 07:26:13,2024-12-04 23:00:16,246.62166666666667,27.0,117,1479.73,3.0,4.0,4.0,11.0,Loyal Customers
50,2024-10-11,organic,US,3.0,914.53,464.44000000000005,2024-12-12 13:57:38,2024-12-23 15:55:19,304.8433333333333,8.0,81,914.53,4.0,2.0,3.0,9.0,New Customers
51,2024-10-05,social,AU,0.0,0.0,0.0,,,0.0,87.0,87,0.0,,,,,No Orders
52,2024-03-12,organic,US,3.0,297.2,148.52,2024-10-02 21:20:49,2024-12-26 02:25:31,99.06666666666666,5.0,294,297.2,5.0,2.0,1.0,8.0,New Customers
53,2024-05-13,organic,DE,0.0,0.0,0.0,,,0.0,232.0,232,0.0,,,,,No Orders
54,2024-06-19,organic,CA,1.0,485.61,160.81000000000006,2024-10-16 17:54:18,2024-10-16 17:54:18,485.61,76.0,195,485.61,2.0,1.0,2.0,5.0,Lost
55,2024-07-01,organic,DE,1.0,310.96,160.18,2024-07-29 02:42:11,2024-07-29 02:42:11,310.96,155.0,183,310.96,1.0,1.0,1.0,3.0,Lost
56,2024-01-17,social,GB,1.0,550.9599999999999,241.73999999999995,2024-02-02 02:54:37,2024-02-02 02:54:37,550.9599999999999,333.0,349,550.9599999999999,1.0,1.0,2.0,4.0,Lost
57,2024-07-19,referral,DE,4.0,1441.9699999999998,753.51,2024-07-19 10:03:08,2024-11-17 10:57:29,360.49249999999995,44.0,165,1441.9699999999998,2.0,3.0,4.0,9.0,At Risk
58,2024-02-26,organic,US,1.0,192.83,81.53999999999999,2024-10-27 17:32:07,2024-10-27 17:32:07,192.83,65.0,309,192.83,2.0,1.0,1.0,4.0,Lost
59,2024-09-29,paid_search,US,10.0,3225.38,1489.9,2024-10-12 05:27:23,2024-12-24 22:39:41,322.538,7.0,93,3225.38,4.0,5.0,5.0,14.0,Champions
60,2024-09-06,social,US,4.0,873.4,411.83000000000004,2024-09-28 20:42:35,2024-10-31 12:17:59,218.35,61.0,116,873.4,2.0,3.0,2.0,7.0,At Risk
61,2024-12-03,affiliate,DE,1.0,197.35000000000002,109.96,2024-12-14 09:55:14,2024-12-14 09:55:14,197.35000000000002,17.0,28,197.35000000000002,3.0,1.0,1.0,5.0,Others
62,2024-09-29,social,GB,6.0,1184.95,515.78,2024-10-01 22:26:23,2024-12-24 05:27:54,197.49166666666667,7.0,93,1184.95,4.0,4.0,3.0,11.0,Loyal Customers
63,2024-05-14,organic,US,2.0,420.28,191.70999999999998,2024-07-21 13:20:42,2024-11-23 07:11:34,210.14,38.0,231,420.28,2.0,1.0,1.0,4.0,Lost
64,2024-12-20,social,AU,4.0,1196.38,564.6700000000001,2024-12-20 00:22:33,2024-12-30 03:07:20,299.095,1.0,11,1196.38,5.0,3.0,3.0,11.0,Loyal Customers
65,2024-05-30,organic,US,4.0,695.22,340.71,2024-07-28 05:46:00,2024-12-25 14:57:19,173.805,6.0,215,695.22,4.0,3.0,2.0,9.0,Potential Loyalists
66,2024-04-29,affiliate,GB,10.0,2543.09,1151.3899999999999,2024-05-02 18:12:10,2024-10-06 18:27:56,254.30900000000003,86.0,246,2543.09,1.0,5.0,5.0,11.0,At Risk
67,2024-11-27,paid_search,US,0.0,0.0,0.0,,,0.0,34.0,34,0.0,,,,,No Orders
68,2024-05-15,social,US,0.0,0.0,0.0,,,0.0,230.0,230,0.0,,,,,No Orders
69,2024-01-28,organic,FR,0.0,0.0,0.0,,,0.0,338.0,338,0.0,,,,,No Orders
70,2024-06-20,paid_search,GB,3.0,665.29,300.17999999999995,2024-09-15 19:50:21,2024-12-21 08:21:19,221.76333333333332,10.0,194,665.29,4.0,2.0,2.0,8.0,New Customers
71,2024-10-18,referral,US,1.0,499.49,200.81999999999996,2024-12-13 04:09:53,2024-12-13 04:09:53,499.49,18.0,74,499.49,3.0,1.0,2.0,6.0,Others
72,2024-03-10,social,SE,5.0,1098.04,536.02,2024-04-12 08:52:50,2024-11-30 13:23:12,219.608,31.0,296,1098.04,3.0,3.0,3.0,9.0,Loyal Customers
73,2024-06-18,paid_search,CA,9.0,2247.57,1041.1599999999999,2024-06-22 07:18:28,2024-12-14 13:29:26,249.73000000000002,17.0,196,2247.57,3.0,5.0,5.0,13.0,Loyal Customers
74,2024-02-17,referral,FR,6.0,2187.21,1137.9099999999999,2024-03-20 22:31:19,2024-09-09 15:44:53,364.535,113.0,318,2187.21,1.0,4.0,4.0,9.0,At Risk
75,2024-09-08,email,AU,1.0,307.44,169.84999999999997,2024-10-27 13:56:09,2024-10-27 13:56:09,307.44,65.0,114,307.44,2.0,1.0,1.0,4.0,Lost
76,2024-06-23,organic,NL,5.0,787.9599999999999,435.4,2024-06-23 02:53:04,2024-10-19 10:15:10,157.59199999999998,73.0,191,787.9599999999999,2.0,3.0,2.0,7.0,At Risk
77,2024-04-30,paid_search,US,2.0,643.19,271.97,2024-07-28 18:09:26,2024-11-29 13:15:22,321.595,32.0,245,643.19,3.0,1.0,2.0,6.0,Others
78,2024-03-24,paid_search,DE,9.0,1513.6200000000001,787.6,2024-05-04 14:46:21,2024-12-18 18:40:46,168.18,13.0,282,1513.6200000000001,4.0,5.0,4.0,13.0,Champions
79,2024-07-25,social,DE,2.0,258.41999999999996,127.71,2024-09-13 22:36:16,2024-12-30 03:07:24,129.20999999999998,1.0,159,258.41999999999996,5.0,1.0,1.0,7.0,New Customers
80,2024-09-02,organic,US,0.0,0.0,0.0,,,0.0,120.0,120,0.0,,,,,No Orders
81,2024-12-10,organic,US,4.0,1198.29,657.68,2024-12-11 19:54:20,2024-12-24 13:00:50,299.5725,7.0,21,1198.29,4.0,3.0,3.0,10.0,Loyal Customers
82,2024-06-08,referral,US,4.0,1625.5300000000002,747.7600000000001,2024-08-10 06:47:41,2024-11-12 05:16:36,406.38250000000005,49.0,206,1625.5300000000002,2.0,3.0,4.0,9.0,At Risk
83,2024-02-28,referral,DE,2.0,874.51,429.18000000000006,2024-03-03 12:30:45,2024-07-28 20:08:22,437.255,156.0,307,874.51,1.0,1.0,2.0,4.0,Lost
84,2024-10-31,email,CA,0.0,0.0,0.0,,,0.0,61.0,61,0.0,,,,,No Orders
85,2024-08-18,affiliate,CA,4.0,634.39,301.28999999999996,2024-09-05 22:00:35,2024-10-13 08:26:44,158.5975,79.0,135,634.39,2.0,3.0,2.0,7.0,At Risk
86,2024-09-13,email,US,3.0,897.6399999999999,473.03999999999996,2024-10-20 05:18:48,2024-11-27 08:50:42,299.2133333333333,34.0,109,897.6399999999999,3.0,2.0,3.0,8.0,Potential Loyalists
87,2024-02-05,email,US,0.0,0.0,0.0,,,0.0,330.0,330,0.0,,,,,No Orders
88,2024-04-24,email,GB,7.0,2564.3,1306.3200000000002,2024-06-24 21:46:43,2024-12-26 13:29:08,366.3285714285715,5.0,251,2564.3,5.0,4.0,5.0,14.0,Champions
89,2024-10-08,paid_search,GB,1.0,77.45,37.150000000000006,2024-10-14 21:11:46,2024-10-14 21:11:46,77.45,78.0,84,77.45,2.0,1.0,1.0,4.0,Lost
90,2024-10-31,paid_search,NL,1.0,23.91,10.68,2024-11-10 19:59:05,2024-11-10 19:59:05,23.91,51.0,61,23.91,2.0,1.0,1.0,4.0,Lost
91,2024-06-08,organic,AU,10.0,3073.4700000000003,1490.68,2024-07-19 17:05:53,2024-12-23 20:46:41,307.34700000000004,8.0,206,3073.4700000000003,4.0,5.0,5.0,14.0,Champions
92,2024-10-21,social,NL,1.0,59.67,36.24,2024-12-04 13:05:42,2024-12-04 13:05:42,59.67,27.0,71,59.67,3.0,1.0,1.0,5.0,Others
93,2024-11-04,organic,AU,4.0,1156.84,519.76,2024-11-05 05:22:16,2024-12-12 12:01:17,289.21,19.0,57,1156.84,3.0,3.0,3.0,9.0,Loyal Customers
94,2024-05-21,organic,SE,11.0,3917.09,1875.42,2024-05-28 13:51:30,2024-12-24 16:53:57,356.09909090909093,7.0,224,3917.09,4.0,5.0,5.0,14.0,Champions
95,2024-11-24,social,GB,12.0,2906.73,1308.39,2024-11-27 17:25:32,2024-12-29 02:05:32,242.2275,2.0,37,2906.73,5.0,5.0,5.0,15.0,Champions
96,2024-04-15,paid_search,US,0.0,0.0,0.0,,,0.0,260.0,260,0.0,,,,,No Orders
97,2024-03-28,organic,US,1.0,336.96000000000004,140.21,2024-04-09 10:06:22,2024-04-09 10:06:22,336.96000000000004,266.0,278,336.96000000000004,1.0,1.0,1.0,3.0,Lost
98,2024-09-06,email,US,2.0,519.84,266.81999999999994,2024-09-28 23:21:41,2024-11-14 07:12:45,259.92,47.0,116,519.84,2.0,1.0,2.0,5.0,Lost
99,2024-08-21,referral,US,9.0,2997.8,1472.89,2024-09-08 04:40:55,2024-12-22 11:28:57,333.0888888888889,9.0,132,2997.8,4.0,5.0,5.0,14.0,Champions
100,2024-02-21,organic,US,2.0,940.37,521.75,2024-08-08 04:04:35,2024-10-09 03:14:01,470.185,83.0,314,940.37,1.0,1.0,3.0,5.0,Lost
101,2024-10-31,organic,NL,5.0,1704.88,742.1800000000002,2024-10-31 10:53:07,2024-12-30 03:12:50,340.976,1.0,61,1704.88,5.0,3.0,4.0,12.0,Loyal Customers
102,2024-03-14,organic,US,2.0,299.23,148.17999999999998,2024-04-30 10:53:36,2024-12-08 12:25:28,149.615,23.0,292,299.23,3.0,1.0,1.0,5.0,Others
103,2024-10-21,email,NL,1.0,657.26,369.12,2024-10-31 02:42:18,2024-10-31 02:42:18,657.26,61.0,71,657.26,2.0,1.0,2.0,5.0,Lost
104,2024-01-03,email,CA,3.0,1261.62,594.95,2024-06-23 22:12:12,2024-07-17 03:13:45,420.53999999999996,167.0,363,1261.62,1.0,2.0,3.0,6.0,Lost
105,2024-10-18,organic,DE,4.0,1668.45,765.77,2024-10-29 08:14:34,2024-12-18 04:16:34,417.1125,13.0,74,1668.45,4.0,3.0,4.0,11.0,Loyal Customers
106,2024-10-15,email,FR,7.0,2394.2,1186.81,2024-10-23 08:24:46,2024-12-18 17:44:47,342.0285714285714,13.0,77,2394.2,4.0,4.0,5.0,13.0,Champions
107,2024-10-12,organic,US,3.0,650.39,254.33999999999997,2024-10-18 04:11:14,2024-12-03 19:09:51,216.79666666666665,28.0,80,650.39,3.0,2.0,2.0,7.0,Potential Loyalists
108,2024-08-31,paid_search,DE,0.0,0.0,0.0,,,0.0,122.0,122,0.0,,,,,No Orders
109,2024-06-21,affiliate,US,5.0,774.47,425.89,2024-07-13 12:13:15,2024-11-05 00:01:22,154.894,56.0,193,774.47,2.0,3.0,2.0,7.0,At Risk
110,2024-09-15,organic,NL,2.0,981.6500000000001,553.04,2024-09-22 05:08:11,2024-12-22 10:38:20,490.82500000000005,9.0,107,981.6500000000001,4.0,1.0,3.0,8.0,New Customers
111,2024-04-11,organic,US,7.0,2485.73,1227.1799999999998,2024-04-16 15:26:29,2024-11-30 22:06:58,355.1042857142857,31.0,264,2485.73,3.0,4.0,5.0,12.0,Loyal Customers
112,2024-10-12,paid_search,US,3.0,345.59,156.98,2024-11-05 23:15:21,2024-12-11 18:21:26,115.19666666666666,20.0,80,345.59,3.0,2.0,1.0,6.0,Others
113,2024-07-22,social,FR,2.0,501.40999999999997,255.79999999999995,2024-08-01 10:28:29,2024-08-16 18:42:00,250.70499999999998,137.0,162,501.40999999999997,1.0,1.0,2.0,4.0,Lost
114,2024-06-16,referral,DE,0.0,0.0,0.0,,,0.0,198.0,198,0.0,,,,,No Orders
115,2024-07-04,affiliate,GB,4.0,1242.24,615.4000000000001,2024-09-02 18:33:22,2024-12-29 10:58:38,310.56,2.0,180,1242.24,5.0,3.0,3.0,11.0,Loyal Customers
116,2024-07-27,organic,DE,3.0,950.39,463.24,2024-08-17 08:58:34,2024-12-08 17:52:39,316.7966666666667,23.0,157,950.39,3.0,2.0,3.0,8.0,Potential Loyalists
117,2024-01-14,organic,US,2.0,308.21,157.89,2024-08-31 11:43:11,2024-11-04 03:56:54,154.105,57.0,352,308.21,2.0,1.0,1.0,4.0,Lost
118,2024-02-21,email,FR,4.0,1411.32,665.3100000000001,2024-02-23 11:45:09,2024-12-11 08:35:43,352.83,20.0,314,1411.32,3.0,3.0,4.0,10.0,Loyal Customers
119,2024-03-30,organic,US,8.0,2495.37,1223.98,2024-06-26 02:19:31,2024-12-31 20:09:55,311.92125,0.0,276,2495.37,5.0,5.0,5.0,15.0,Champions
120,2024-02-11,referral,US,0.0,0.0,0.0,,,0.0,324.0,324,0.0,,,,,No Orders
121,2024-06-09,social,US,5.0,2275.39,1251.36,2024-06-30 09:17:25,2024-12-23 11:04:20,455.078,8.0,205,2275.39,4.0,3.0,5.0,12.0,Loyal Customers
122,2024-09-01,organic,US,3.0,653.36,361.29999999999995,2024-09-25 01:35:53,2024-11-26 07:26:54,217.78666666666666,35.0,121,653.36,3.0,2.0,2.0,7.0,Potential Loyalists
123,2024-08-27,email,US,7.0,2611.59,1107.74,2024-08-31 01:02:18,2024-12-04 10:15:21,373.0842857142857,27.0,126,2611.59,3.0,4.0,5.0,12.0,Loyal Customers
124,2024-06-21,organic,GB,4.0,1109.52,445.68999999999994,2024-07-11 19:19:14,2024-12-17 15:03:44,277.38,14.0,193,1109.52,4.0,3.0,3.0,10.0,Loyal Customers
125,2024-11-08,paid_search,US,6.0,2089.7599999999998,916.9,2024-11-09 23:01:05,2024-12-28 01:33:32,348.2933333333333,3.0,53,2089.7599999999998,5.0,4.0,4.0,13.0,Champions
126,2024-07-25,paid_search,US,4.0,777.74,408.01,2024-08-03 23:42:01,2024-12-25 09:33:14,194.435,6.0,159,777.74,4.0,3.0,2.0,9.0,Potential Loyalists
127,2024-01-29,paid_search,GB,5.0,932.0,513.52,2024-02-16 04:17:27,2024-07-26 16:51:48,186.4,158.0,337,932.0,1.0,3.0,3.0,7.0,At Risk
128,2024-10-06,social,US,3.0,422.15999999999997,217.32,2024-12-18 03:48:48,2024-12-25 22:54:37,140.72,6.0,86,422.15999999999997,4.0,2.0,1.0,7.0,New Customers
129,2024-07-29,social,FR,2.0,298.74,157.2,2024-11-04 04:13:54,2024-12-29 16:23:01,149.37,2.0,155,298.74,5.0,1.0,1.0,7.0,New Customers
130,2024-08-20,affiliate,NL,4.0,1328.16,679.6800000000001,2024-09-07 04:44:46,2024-12-26 08:22:50,332.04,5.0,133,1328.16,5.0,3.0,3.0,11.0,Loyal Customers
131,2024-07-25,affiliate,GB,3.0,331.35,154.65000000000003,2024-08-11 10:34:59,2024-12-13 05:13:05,110.45,18.0,159,331.35,3.0,2.0,1.0,6.0,Others
132,2024-07-21,paid_search,NL,8.0,2185.2599999999998,1149.73,2024-07-25 00:58:55,2024-12-31 22:37:35,273.15749999999997,0.0,163,2185.2599999999998,5.0,5.0,4.0,14.0,Champions
133,2024-02-03,organic,US,3.0,659.95,333.47,2024-02-20 20:06:05,2024-11-27 12:49:53,219.98333333333335,34.0,332,659.95,3.0,2.0,2.0,7.0,Potential Loyalists
134,2024-07-23,social,US,2.0,534.99,274.16,2024-08-26 22:54:48,2024-12-10 14:24:47,267.495,21.0,161,534.99,3.0,1.0,2.0,6.0,Others
135,2024-10-17,affiliate,FR,6.0,1864.8200000000002,870.97,2024-10-31 05:56:10,2024-12-17 00:06:23,310.80333333333334,14.0,75,1864.8200000000002,4.0,4.0,4.0,12.0,Champions
136,2024-04-21,organic,CA,2.0,514.26,265.64,2024-05-05 14:21:06,2024-06-01 08:15:39,257.13,213.0,254,514.26,1.0,1.0,2.0,4.0,Lost
137,2024-08-08,paid_search,AU,6.0,1248.76,607.9699999999999,2024-10-06 10:58:37,2024-12-14 07:12:16,208.12666666666667,17.0,145,1248.76,3.0,4.0,3.0,10.0,Loyal Customers
138,2024-01-12,paid_search,US,1.0,650.3499999999999,263.38,2024-06-03 07:10:26,2024-06-03 07:10:26,650.3499999999999,211.0,354,650.3499999999999,1.0,1.0,2.0,4.0,Lost
139,2024-05-07,organic,CA,10.0,2585.78,1262.64,2024-05-12 14:04:26,2024-11-22 03:57:02,258.57800000000003,39.0,238,2585.78,2.0,5.0,5.0,12.0,At Risk
140,2024-06-08,social,US,2.0,1109.23,556.71,2024-10-10 10:17:34,2024-11-23 05:25:37,554.615,38.0,206,1109.23,2.0,1.0,3.0,6.0,Lost
141,2024-12-25,paid_search,US,1.0,214.98,109.11999999999999,2024-12-27 07:10:54,2024-12-27 07:10:54,214.98,4.0,6,214.98,5.0,1.0,1.0,7.0,New Customers
142,2024-03-19,email,US,3.0,507.1,293.02,2024-06-05 09:16:11,2024-12-12 13:54:14,169.03333333333333,19.0,287,507.1,3.0,2.0,2.0,7.0,Potential Loyalists
143,2024-04-11,email,SE,7.0,2133.43,941.99,2024-05-30 19:16:01,2024-11-16 18:25:09,304.7757142857143,45.0,264,2133.43,2.0,4.0,4.0,10.0,At Risk
144,2024-05-29,email,US,0.0,0.0,0.0,,,0.0,216.0,216,0.0,,,,,No Orders
145,2024-12-29,paid_search,CA,1.0,214.8,105.56000000000002,2024-12-30 04:49:12,2024-12-30 04:49:12,214.8,1.0,2,214.8,5.0,1.0,1.0,7.0,New Customers
146,2024-11-08,organic,DE,1.0,591.86,320.12,2024-11-27 03:06:26,2024-11-27 03:06:26,591.86,34.0,53,591.86,3.0,1.0,2.0,6.0,Others
147,2024-01-13,email,FR,3.0,1209.75,623.53,2024-05-26 12:56:00,2024-09-01 10:28:20,403.25,121.0,353,1209.75,1.0,2.0,3.0,6.0,Lost
148,2024-03-26,email,FR,3.0,587.71,271.73,2024-05-06 17:13:37,2024-10-02 12:26:21,195.90333333333334,90.0,280,587.71,1.0,2.0,2.0,5.0,Lost
149,2024-10-27,paid_search,AU,4.0,1385.71,667.7700000000001,2024-11-09 21:10:23,2024-12-12 03:55:38,346.4275,19.0,65,1385.71,3.0,3.0,3.0,9.0,Loyal Customers
150,2024-01-22,referral,US,3.0,963.0400000000001,407.73,2024-03-04 23:26:07,2024-07-22 05:04:05,321.0133333333334,162.0,344,963.0400000000001,1.0,2.0,3.0,6.0,Lost
151,2024-11-09,organic,US,8.0,2093.93,1053.05,2024-11-15 14:13:36,2024-12-25 17:58:32,261.74125,6.0,52,2093.93,4.0,5.0,4.0,13.0,Champions
152,2024-04-12,referral,DE,7.0,2614.66,1233.52,2024-04-17 20:23:21,2024-11-22 08:57:08,373.5228571428571,39.0,263,2614.66,2.0,4.0,5.0,11.0,At Risk
153,2024-12-01,organic,US,2.0,251.66000000000003,115.94,2024-12-05 21:23:54,2024-12-16 14:09:23,125.83000000000001,15.0,30,251.66000000000003,4.0,1.0,1.0,6.0,New Customers
